id_llar,pes_llar,membres_llar,tipus_llar,unitats_consum,renda_total,renda_pobresa,risc_pobresa,carencia_material,regim_tinenca,temperatura_adequada,despeses_habitatge,quota_hipotecaria,retards_hipoteca_lloguer,retards_factures,bo_social,afrontar_imprevistos,arribar_final_mes,any_construccio,millores_energetiques,rao_no_millora,no_temperatura_adequada,te_retards,vulnerabilitat_basica
18458,3,2,7.0,1.5,61926.5,61926.5,No,No,Propietat amb hipoteca,Sí,306.29,432.0,No,No,No,Sí,Amb certa dificultat,4.0,4.0,2.0,0.0,0,0
18459,6,2,10.0,1.3,36058.0,36058.0,No,No,Propietat amb hipoteca,Sí,953.54,1037.0,No,No,No,No,Amb certa facilitat,3.0,4.0,2.0,0.0,0,0
18460,4,2,7.0,1.5,35557.2,35557.2,No,No,Propietat sense hipoteca,Sí,301.97,,,No,No,Sí,Amb certa facilitat,3.0,5.0,,0.0,0,0
18461,5,3,11.0,1.8,39349.2,39349.2,No,No,Lloguer a preu de mercat,Sí,1019.59,,No,No,No,No,Amb certa facilitat,2.0,5.0,,0.0,0,0
18462,5,3,11.0,1.8,42440.1,42440.1,No,No,Cessió gratuïta,Sí,395.61,,,No,No,Sí,Amb dificultat,3.0,1.0,,0.0,0,0
18463,6,2,7.0,1.5,38307.5,38307.5,No,No,Propietat amb hipoteca,Sí,728.47,565.0,No,No,No,No,Amb certa dificultat,4.0,4.0,2.0,0.0,0,0
18465,4,2,8.0,1.5,45435.2,45435.2,No,No,Lloguer a preu de mercat,Sí,798.64,,No,No,No,No,Amb certa dificultat,4.0,5.0,,0.0,0,0
18466,6,6,13.0,3.3,87525.5,87525.5,No,No,Lloguer a preu de mercat,Sí,1039.53,,No,No,Sí,Sí,Amb certa dificultat,3.0,5.0,,0.0,0,0
18469,5,3,11.0,2.0,61677.7,61677.7,No,No,Propietat amb hipoteca,Sí,515.16,625.0,No,No,No,Sí,Amb facilitat,5.0,4.0,2.0,0.0,0,0
18471,3,4,14.0,2.5,69337.8,69337.8,No,No,Propietat sense hipoteca,Sí,331.22,,,No,No,Sí,Amb certa facilitat,3.0,1.0,,0.0,0,0
18472,4,2,8.0,1.5,51361.7,51361.7,No,No,Propietat sense hipoteca,Sí,199.06,,,No,Sí,Sí,Amb certa facilitat,3.0,1.0,,0.0,0,0
18473,5,4,12.0,2.5,38781.6,38781.6,No,No,Propietat amb hipoteca,Sí,412.19,250.0,No,No,No,Sí,Amb certa dificultat,2.0,5.0,,0.0,0,0
18474,3,1,2.0,1.0,17752.0,17752.0,No,No,Lloguer a preu de mercat,Sí,530.33,,Sí,No,No,Sí,Amb dificultat,5.0,4.0,,0.0,1,1
18477,5,1,5.0,1.0,27942.83,27942.83,No,No,Propietat sense hipoteca,Sí,246.62,,,No,No,Sí,Amb facilitat,3.0,5.0,,0.0,0,0
18478,4,1,3.0,1.0,20547.2,20547.2,No,No,Propietat sense hipoteca,Sí,191.85,,,No,No,Sí,Amb certa dificultat,3.0,5.0,,0.0,0,0
18479,6,4,9.0,2.5,49100.0,49100.0,No,No,Propietat sense hipoteca,Sí,338.64,,,No,No,Sí,Amb certa facilitat,4.0,5.0,,0.0,0,0
18480,5,4,12.0,2.1,73978.4,73978.4,No,No,Propietat amb hipoteca,Sí,314.81,867.0,No,No,No,Sí,Amb certa facilitat,4.0,4.0,2.0,0.0,0,0
18481,5,4,12.0,2.5,86269.36,86269.36,No,No,Lloguer a preu de mercat,Sí,,,No,No,No,Sí,Amb certa dificultat,,5.0,,0.0,0,0
18482,6,4,12.0,2.5,114688.51,114688.51,No,No,Propietat amb hipoteca,Sí,503.85,615.0,No,No,No,Sí,Amb certa facilitat,5.0,5.0,,0.0,0,0
18483,4,4,9.0,2.5,81645.3,81645.3,No,No,Propietat sense hipoteca,Sí,377.08,,,No,No,Sí,Amb molta facilitat,5.0,5.0,,0.0,0,0
18484,6,2,8.0,1.5,29881.4,29881.4,No,No,Propietat sense hipoteca,Sí,422.47,,,No,No,Sí,Amb facilitat,4.0,5.0,,0.0,0,0
18488,5,3,11.0,2.0,49636.66,49636.66,No,No,Propietat amb hipoteca,Sí,421.11,411.0,No,No,No,No,Amb certa dificultat,5.0,5.0,,0.0,0,0
18489,5,5,13.0,2.6,29991.89,29991.89,Sí,No,Lloguer inferior al mercat,Sí,551.34,,No,No,Sí,No,Amb dificultat,5.0,4.0,,0.0,0,1
18490,4,4,12.0,2.5,55833.0,55833.0,No,No,Propietat amb hipoteca,Sí,779.02,930.0,No,No,No,Sí,Amb certa dificultat,5.0,4.0,2.0,0.0,0,0
18491,6,3,11.0,1.8,54299.4,54299.4,No,No,Propietat amb hipoteca,Sí,870.37,870.0,Sí,No,No,Sí,Amb certa facilitat,5.0,4.0,2.0,0.0,1,1
18492,6,2,7.0,1.5,26818.4,26818.4,No,No,Lloguer a preu de mercat,Sí,866.03,,No,No,No,No,Amb molta dificultat,5.0,4.0,,0.0,0,0
18494,6,5,13.0,2.4,111909.1,111909.1,No,No,Propietat amb hipoteca,Sí,858.77,724.0,No,No,Sí,Sí,Amb certa dificultat,5.0,4.0,2.0,0.0,0,0
18496,5,1,2.0,1.0,44351.0,44351.0,No,No,Propietat amb hipoteca,Sí,606.27,800.0,No,No,No,Sí,Amb certa dificultat,5.0,4.0,2.0,0.0,0,0
18497,5,2,10.0,1.5,41238.3,41238.3,No,No,Propietat sense hipoteca,Sí,339.27,,,No,No,Sí,Amb certa dificultat,5.0,4.0,2.0,0.0,0,0
18498,4,2,7.0,1.5,36991.2,36991.2,No,No,Propietat sense hipoteca,Sí,353.19,,,No,No,Sí,Amb molta facilitat,5.0,1.0,,0.0,0,0
18499,5,2,8.0,1.5,36801.45,36801.45,No,No,Cessió gratuïta,Sí,388.43,,,No,No,Sí,Amb certa dificultat,4.0,5.0,,0.0,0,0
18500,6,4,12.0,2.5,95070.4,95070.4,No,No,Propietat amb hipoteca,Sí,431.1,1037.0,No,No,No,Sí,Amb certa facilitat,5.0,3.0,,0.0,0,0
18501,5,4,12.0,2.1,142933.6,142933.6,No,No,Propietat amb hipoteca,Sí,699.52,1072.0,No,No,No,Sí,Amb certa facilitat,4.0,5.0,,0.0,0,0
18502,5,4,12.0,2.1,47514.7,47514.7,No,No,Propietat amb hipoteca,Sí,468.14,800.0,No,No,No,Sí,Amb certa dificultat,5.0,4.0,5.0,0.0,0,0
18503,6,4,12.0,2.5,88411.73,88411.73,No,No,Propietat amb hipoteca,Sí,1169.6,,No,No,No,Sí,Amb certa facilitat,4.0,4.0,2.0,0.0,0,0
